NO,Sp No,Community,Climate Code,Order,Family,Species,Common name,Body size (g),BS rank,Diet,Diet rank,Locomotor mode,Locomotor rank,Other (reference),,What changed in the dataset,
40,510,Paluma Queensland AU,110,Peramelemorphia,Peramelidae,Isoodon_macrourus,northern brown bandicoot,1800,4,I,2,T,4,Nowak 1999: 74,,,
41,511,"Coolibah Creek, Simpson desert AU",211,Rodentia,Muridae,Notomys_alexis,spinifex hopping mouse,35,2,H,6,Sa,8,Nowak 1999: 1563,,,
41,512,"Coolibah Creek, Simpson desert AU",211,Rodentia,Muridae,Pseudomys_hermannsburgensis,sandy inland mouse,51,2,O,3,Sf,6,Nowak 1999: 1558,,,
41,513,"Coolibah Creek, Simpson desert AU",211,Rodentia,Muridae,Pseudomys_desertor,brown desert mouse,51,2,O,3,Sf,6,Nowak 1999: 1558,,,
41,514,"Coolibah Creek, Simpson desert AU",211,Rodentia,Muridae,Rattus_villosissimus,long-haired rat,268,3,O,3,T,4,Nowak 1999: 1517,,,
41,515,"Coolibah Creek, Simpson desert AU",211,Rodentia,Muridae,Mus_musculus,house mouse,21,1,O,3,T,4,Nowak 1999: 1605,,,
41,516,"Coolibah Creek, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Sminthopsis_youngsoni,lesser hairy-footed dunnart,32,1,I,2,T,4,Nowak 1999: 52; Diet see below,,,
41,517,"Coolibah Creek, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Sminthopsis_hirtipes,hairy-footed dunnart,32,1,I,2,T,4,Nowak 1999: 52,,,
41,518,"Coolibah Creek, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Dasycercus_cristicauda,mulgara,115,2,C,1,Sc,3,Nowak 1999:60,,,
41,519,"Coolibah Creek, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Ningaui_ridei,Wongai ningaui,7.5,1,I,2,Sc,3,Nowak 1999:50,,,
41,520,"Coolibah Creek, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Planigale_tenuirostris,narrow-nosed planigale,~5,1,C,1,T,4,Nowak 1999: 49,,,
42,521,"Kunnamuka Swamp, Simpson desert AU",211,Rodentia,Muridae,Notomys_alexis,spinifex hopping mouse,35,2,H,6,Sa,8,Nowak 1999: 1563,,,
42,522,"Kunnamuka Swamp, Simpson desert AU",211,Rodentia,Muridae,Pseudomys_hermannsburgensis,sandy inland mouse,51,2,O,3,Sf,6,Nowak 1999: 1558,,,
42,523,"Kunnamuka Swamp, Simpson desert AU",211,Rodentia,Muridae,Pseudomys_desertor,brown desert mouse,51,2,O,3,Sf,6,Nowak 1999: 1558,,,
42,524,"Kunnamuka Swamp, Simpson desert AU",211,Rodentia,Muridae,Rattus_villosissimus,long-haired rat,268,3,O,3,T,4,Nowak 1999: 1517,,,
42,525,"Kunnamuka Swamp, Simpson desert AU",211,Rodentia,Muridae,Mus_musculus,house mouse,21,1,O,3,T,4,Nowak 1999: 1605,,,
42,526,"Kunnamuka Swamp, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Sminthopsis_youngsoni,lesser hairy-footed dunnart,32,1,I,2,T,4,Nowak 1999: 52; Diet see below,,,
42,527,"Kunnamuka Swamp, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Sminthopsis_hirtipes,hairy-footed dunnart,32,1,I,2,T,4,Nowak 1999: 52,,,
42,528,"Kunnamuka Swamp, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Dasycercus_cristicauda,mulgara,115,2,C,1,Sc,3,Nowak 1999:60,,,
42,529,"Kunnamuka Swamp, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Ningaui_ridei,Wongai ningaui,7.5,1,I,2,Sc,3,Nowak 1999:50,,,
42,530,"Kunnamuka Swamp, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Planigale_tenuirostris,narrow-nosed planigale,5,1,C,1,T,4,Nowak 1999: 49,,,
43,531,"Field River, Simpson desert AU",211,Rodentia,Muridae,Notomys_alexis,spinifex hopping mouse,35,2,H,6,Sa,8,Nowak 1999: 1563,,,
43,532,"Field River, Simpson desert AU",211,Rodentia,Muridae,Pseudomys_hermannsburgensis,sandy inland mouse,51,2,O,3,Sf,6,Nowak 1999: 1558,,,
43,533,"Field River, Simpson desert AU",211,Rodentia,Muridae,Pseudomys_desertor,brown desert mouse,51,2,O,3,Sf,6,Nowak 1999: 1558,,,
43,534,"Field River, Simpson desert AU",211,Rodentia,Muridae,Rattus_villosissimus,long-haired rat,268,3,O,3,T,4,Nowak 1999: 1517,,,
43,535,"Field River, Simpson desert AU",211,Rodentia,Muridae,Mus_musculus,house mouse,21,1,O,3,T,4,Nowak 1999: 1605,,,
43,536,"Field River, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Sminthopsis_youngsoni,lesser hairy-footed dunnart,32,1,I,2,T,4,Nowak 1999: 52; Diet see below,,,
43,537,"Field River, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Sminthopsis_hirtipes,hairy-footed dunnart,32,1,I,2,T,4,Nowak 1999: 52,,,
43,538,"Field River, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Dasycercus_cristicauda,mulgara,115,2,C,1,Sc,3,Nowak 1999:60,,,
43,539,"Field River, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Ningaui_ridei,Wongai ningaui,7.5,1,I,2,Sc,3,Nowak 1999:50,,,
43,540,"Field River, Simpson desert AU",211,Dasyuromorphia,Dasyuridae,Planigale_tenuirostris,narrow-nosed planigale,5,1,C,1,T,4,Nowak 1999: 49,,,
44,541,Strezelecki Desert AU,211,Carnivora,Canidae,Vulpes_vulpes,red fox,4600,5,C,1,T,4,Locomotion: Nowak 1999:636,,,
44,542,Strezelecki Desert AU,211,Carnivora,Felidae,Felis_catus,feral cat,3500,5,C,1,Sc,3,Locomotion: Nowak 1999:796,,,
44,543,Strezelecki Desert AU,211,Lagomorpha,Leporidae,Oryctolagus_cuniculus,rabbit,1058,4,H,6,Sa,8,Locomotion: Nowak 1999:1720,,,
44,544,Strezelecki Desert AU,211,Rodentia,Muridae,Notomys_fuscus,dusky hopping mouse,35,2,O,3,Sa,8,Locomotion: Nowak 1999: 1563,,,
44,545,Strezelecki Desert AU,211,Dasyuromorphia,Dasyuridae,Sminthopsis_aitkeni,dunnart,15,1,I,2,T,4,Locomotion: Nowak 1999: 52,,,
45,546,Kakadu NP AU,130,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,Short-beaked echidna ,3750,5,I,2,F,7,Nowak 1999: 10,,,
45,547,Kakadu NP AU,130,Dasyuromorphia,Dasyuridae,Antechinus_bellus,Fawn antechinus ,57,2,C,1,T,4,Nowak 1999: 47,,,
45,548,Kakadu NP AU,130,Dasyuromorphia,Dasyuridae,Dasyurus_hallucatus,Northern quoll ,600,4,C,1,Sc,3,Nowak 1999: 61; BS (ADW),,,
45,549,Kakadu NP AU,130,Dasyuromorphia,Dasyuridae,Phascogale_tapoatafa,Northern brush-tailed phascogale,172.5,3,C,1,A,2,Nowak 1999: 45,,,
45,550,Kakadu NP AU,130,Dasyuromorphia,Dasyuridae,Planigale_maculata,Common planigale ,13.1,1,C,1,T,4,Nowak 1999: 49,,,
45,551,Kakadu NP AU,130,Dasyuromorphia,Dasyuridae,Pseudantechinus_bilarni,Sandstone antechinus ,28,1,I,2,T,4,Paraantechinus bilarni; Nowak 1999: 55,,,
45,552,Kakadu NP AU,130,Dasyuromorphia,Dasyuridae,Sminthopsis_bindi,Kakadu dunnart ,32,1,I,2,T,4,Nowak 1999: 52; Diet see below,,,
45,553,Kakadu NP AU,130,Dasyuromorphia,Dasyuridae,Sminthopsis_virginiae,Red-cheeked dunnart ,32,1,I,2,T,4,Nowak 1999: 52,,,
45,554,Kakadu NP AU,130,Peramelemorphia,Peramelidae,Isoodon_macrourus,Northern brown bandicoot,1800,4,I,2,T,4,Nowak 1999: 74,,,
45,555,Kakadu NP AU,130,Diprotodontia,Phalangeridae,Trichosurus_vulpecula, Common brushtail possum,2395,5,O,3,A,2,Nowak 1999: 92,,,
45,556,Kakadu NP AU,130,Rodentia,Muridae,Conilurus_penicillatus,Brush-tailed rabbit-rat ,172,3,O,3,Sc,3,Nowak 1999: 1554; BS (http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=132),,,
45,557,Kakadu NP AU,130,Diprotodontia,Petauridae,Petaurus_breviceps,Sugar glider,119.5,2,O,3,G,1,Nowak 1999: 139,,,
45,558,Kakadu NP AU,130,Diprotodontia,Pseudocheiridae,Petropseudes_dahli,Rock ringtail possum ,1140,4,H,6,Sc,3,Nowak 1999: 135,,,
45,559,Kakadu NP AU,130,Rodentia,Muridae,Hydromys_chrysogaster,Water rat,800,4,C,1,Sq,5,Nowak 1999:1611,,,
45,560,Kakadu NP AU,130,Rodentia,Muridae,Leggadina_lakedownensis,Tropical short-tailed mouse,17.5,1,G,4,T,4,Nowak 1999:1563,,,
45,561,Kakadu NP AU,130,Rodentia,Muridae,Melomys_burtoni,Grassland mosaic-tailed rat,115,2,F,5,Sc,3,Nowak 1999: 1548,,,
45,562,Kakadu NP AU,130,Rodentia,Muridae,Mesembriomys_gouldii,Black-footed tree-rat ,650,4,G,4,A,2,Nowak 1999: 1554,,,
45,563,Kakadu NP AU,130,Rodentia,Muridae,Pseudomys_calabyi,Kakadu pebble-mound mouse,51,2,O,3,Sf,6,Nowak 1999: 1558,,,
45,564,Kakadu NP AU,130,Rodentia,Muridae,Pseudomys_delicatulus,Delicate mouse,51,2,O,3,Sf,6,Nowak 1999: 1558,,,
45,565,Kakadu NP AU,130,Rodentia,Muridae,Pseudomys_nanus,Western chestnut mouse ,51,2,O,3,Sf,6,Nowak 1999: 1558,,,
45,566,Kakadu NP AU,130,Rodentia,Muridae,Rattus_colletti,Dusky rat,268.5,3,O,3,T,4,Nowak 1999: 1517,,,
45,567,Kakadu NP AU,130,Rodentia,Muridae,Rattus_rattus,Black rat,142.5,3,O,3,Sc,3,Nowak 1999: 1519,,,
45,568,Kakadu NP AU,130,Rodentia,Muridae,Rattus_tunneyi,Pale field-rat,268.5,3,O,3,T,4,Nowak 1999: 1517,,,
45,569,Kakadu NP AU,130,Rodentia,Muridae,Zyzomys_argurus,Common rock-rat ,50,2,H,6,T,4,Nowak 1999: 1558,,,
45,570,Kakadu NP AU,130,Rodentia,Muridae,Zyzomys_maini,Arnhem rock-rat ,82.5,2,H,6,T,4,Nowak 1999: 1558,,,
