NO,Sp No,Community,Climate Code,Order,Family,Species,Common name,Body size (g),BS rank,Diet,Diet rank,Locomotor mode,Locomotor rank,Other (reference),,What changed in the dataset,
13,155,Great Smoky Mountain TN,331,Rodentia,Cricetidae,Microtus_chrotorrhinus,rock vole,55,2,H,6,T,4,,Sf (Nowak 1999),,
13,156,Great Smoky Mountain TN,331,Rodentia,Dipodidae,Napaeozapus_insignis,woodland jumping mouse,30,1,O,3,T,4,17-26 (Nowak 1999),S (Nowak 1999),,
13,157,Great Smoky Mountain TN,331,Lagomorpha,Leporidae,Sylvilagus_transitionalis,New England cottontail,1350,4,H,6,T,4,246-2700 (Nowak 1999; whole genus),,,
13,158,Great Smoky Mountain TN,331,Carnivora,Mustelidae,Neovison_vison,American mink,1350,4,C,1,Sq,5,681-2310 (Nowak 1999),,,
13,159,Great Smoky Mountain TN,331,Carnivora,Mustelidae,Mustela_frenata,long-tailed weasel,340,3,C,1,T,4,85-340 (Nowak 1999),,,
13,160,Great Smoky Mountain TN,331,Carnivora,Mephitidae,Mephitis_mephitis,striped skunk,6500,5,O,3,Sc,3,,,,
13,161,Great Smoky Mountain TN,331,Carnivora,Canidae,Vulpes_vulpes,fox,6500,5,C,1,T,4,,,,
14,162,Big black mountain,331,Didelphimorphia,Didelphaidae,Didelphis_virginiana,Virgina opossum,6000,6,O,3,Sc,3,,,,
14,163,Big black mountain,331,Soricomorpha,Talpidae,Parascalops_breweri,Brewer's mole,65,2,I,2,F,7,,,,
14,164,Big black mountain,331,Soricomorpha,Soricidae,Sorex_cinereus,Cinereus shrew ,10,1,I,2,T,4,,,,
14,165,Big black mountain,331,Soricomorpha,Soricidae,Sorex_fumeus,Smoky shrew ,10,1,I,2,T,4,,,,
14,166,Big black mountain,331,Soricomorpha,Soricidae,Blarina_brevicauda,Short-tailed shrew ,25,1,I,2,T,4,,,,
14,167,Big black mountain,331,Carnivora,Procyonidae,Procyon_lotor,NorthernRaccoon,6000,5,O,3,T,4,Lotze and  Anderson 1979,,,
14,168,Big black mountain,331,Carnivora,Mustelidae,Mustela_frenata,Long-tailed weasel ,340,3,C,1,T,4,,,,
14,169,Big black mountain,331,Carnivora,Mustelidae,Neovison_vison,Mink,1350,4,C,1,Sq,5,,,,
14,170,Big black mountain,331,Carnivora,Canidae,Urocyon_cinereoargenteus,Gray fox,6000,5,C,1,T,4,,,,
14,171,Big black mountain,331,Rodentia,Sciuridae,Marmota_monax,woodchuck,4500,5,H,6,T,4,,,,
14,172,Big black mountain,331,Rodentia,Sciuridae,Tamias_striatus,eastern chipmunk ,130,3,O,3,Sc,3,,,,
14,173,Big black mountain,331,Rodentia,Sciuridae,Sciurus_carolinensis,Gray squirrel ,600,4,O,3,Sc,3,,,,
14,174,Big black mountain,331,Rodentia,Sciuridae,Glaucomys_volans,Southern flying squirrel ,65,2,O,3,G,1,,,,
